ID,BASE_ID,VERSION,MATRIX_BASE_ID,MATRIX_VERSION,NAME,LOG_P_1ST_ORDER,LOG_P_DETAILED,EXPERIMENT_NAME
300,TFFM0286,1,MA1211,1,ATHB18,-1949.45,-1929.64,GSE60143
301,TFFM0287,1,MA1213,1,ATHB21,-15825.2,-15825.2,GSE60143
302,TFFM0288,1,MA1327,1,ATHB23,-16661.6,-16596.5,GSE60143
303,TFFM0289,1,MA1330,1,ATHB24,-4084.94,-4074.15,GSE60143
304,TFFM0290,1,MA1329,1,ATHB25,-19424.4,-19400,GSE60143
305,TFFM0291,1,MA1326,1,ATHB33,-18160.9,-17836.6,GSE60143
306,TFFM0292,1,MA1328,1,ATHB34,-3542.5,-3541.59,GSE60143
307,TFFM0293,1,MA1214,1,ATHB40,-31516.7,-31571.6,GSE60143
308,TFFM0294,1,MA0110,2,ATHB-5,-32701,-32557.3,GSE60143
309,TFFM0295,1,MA1215,1,ATHB53,-25506.2,-25034.5,GSE60143
310,TFFM0296,1,MA0953,1,ATHB-6,-12875.4,-13599.8,GSE60143
311,TFFM0297,1,MA0954,2,ATHB7,-23983.2,-22794.5,GSE60143
312,TFFM0298,1,MA1359,1,bHLH31,-2560.31,-2503.26,GSE60143
313,TFFM0299,1,MA1357,1,bHLH80,-22680.7,-22618.4,GSE60143
314,TFFM0300,1,MA0964,1,BIM1,-924.7,-887.257,GSE60143
315,TFFM0301,1,MA0965,1,BIM2,-32018.6,-31920.2,GSE60143
316,TFFM0302,1,MA1404,1,BPC1,-133.717,-25.3623,GSE60143
317,TFFM0303,1,MA1349,1,bZIP16,-5826.26,-5832.45,GSE60143
318,TFFM0304,1,MA1344,1,bZIP28,-2772.91,-2764.39,GSE60143
319,TFFM0305,1,MA1340,1,bZIP3,-15987.4,-16014.8,GSE60143
320,TFFM0306,1,MA1337,1,bZIP44,-8389.09,-8389.09,GSE60143
321,TFFM0307,1,MA1345,1,bZIP48,-1793.1,-1797.78,GSE60143
322,TFFM0308,1,MA1342,1,bZIP50,-10879.2,-10867.9,GSE60143
323,TFFM0309,1,MA1343,1,bZIP52,-14894.7,-14927.4,GSE60143
324,TFFM0310,1,MA1341,1,bZIP53,-18395.5,-18442.6,GSE60143
325,TFFM0311,1,MA1347,1,bZIP68,-18428.1,-18366,GSE60143
326,TFFM0312,1,MA1197,1,CAMTA1,-5873.81,-5763.96,GSE60143
327,TFFM0313,1,MA1224,1,CBF1,-13054.9,-12829.4,GSE60143
328,TFFM0314,1,MA1217,1,CBF2,-8662.71,-8711.44,GSE60143
329,TFFM0315,1,MA0971,1,DREB1A,-10448.2,-10569.3,GSE60143
330,TFFM0316,1,MA1218,1,CBF4,-30622.7,-30391.3,GSE60143
331,TFFM0317,1,MA0974,1,CDF3,-3376.93,-3088.23,GSE60143
332,TFFM0318,1,MA1219,1,CEJ1,-22622.9,-23503.6,GSE60143
333,TFFM0319,1,MA1279,1,COG1,-7559.38,-7087.91,GSE60143
334,TFFM0320,1,MA1271,1,DAG2,-15998,-14135.4,GSE60143
335,TFFM0321,1,MA1376,1,DEAR3,-8741.49,-8660.22,GSE60143
336,TFFM0322,1,MA1251,1,DEAR5,-5285.24,-5191.52,GSE60143
337,TFFM0323,1,MA0982,1,DOF2.4,-8197.43,-7820.61,GSE60143
338,TFFM0324,1,MA1273,1,dof4.2,-386.1,-362.472,GSE60143
339,TFFM0325,1,MA1269,1,dof4.5,-4762.08,-4167.4,GSE60143
340,TFFM0326,1,MA1243,1,DREB19,-8441.31,-8382.83,GSE60143
341,TFFM0327,1,MA1401,1,EPR1,-88429.4,-88215.8,GSE60143
342,TFFM0328,1,MA1240,1,ERF10,-3068.23,-2882.92,GSE60143
343,TFFM0329,1,MA1000,2,ERF105,-4027.28,-3838.15,GSE60143
344,TFFM0330,1,MA1001,1,ERF11,-6851.39,-6578.11,GSE60143
345,TFFM0331,1,MA1231,1,ERF15,-11427.6,-11037.4,GSE60143
346,TFFM0332,1,MA1262,1,ERF2,-270.926,-273.373,GSE60143
347,TFFM0333,1,MA1005,1,ERF3,-1520.5,-1514.71,GSE60143
348,TFFM0334,1,MA1238,1,ERF38,-6871.19,-6949.48,GSE60143
349,TFFM0335,1,MA0992,1,ERF4,-4700.44,-5179.13,GSE60143
350,TFFM0336,1,MA1225,1,ERF5,-214.086,-228.406,GSE60143
351,TFFM0337,1,MA0993,1,ERF7,-12017.9,-11716.2,GSE60143
352,TFFM0338,1,MA0994,1,ERF8,-4030.4,-4059.95,GSE60143
353,TFFM0339,1,MA1264,1,ESE1,-792.473,-862.519,GSE60143
354,TFFM0340,1,MA1236,1,ESE3,-1715.43,-1598.62,GSE60143
355,TFFM0341,1,MA1382,1,FAR1,-1467.79,-1397.12,GSE60143
356,TFFM0342,1,MA0565,1,FUS3,-3440.59,-3414.66,GSE60143
357,TFFM0343,1,MA1014,1,GATA11,-6576.8,-6591.3,GSE60143
358,TFFM0344,1,MA1323,1,GATA19,-168.37,-178.533,GSE60143
359,TFFM0345,1,MA1351,1,GBF3,-17756.6,-17806.5,GSE60143
360,TFFM0346,1,MA1334,1,GBF6,-24993.7,-24951.8,GSE60143
361,TFFM0347,1,MA1208,1,GT2,-7466.26,-7296.74,GSE60143
362,TFFM0348,1,MA1207,1,GT3a,-1257.11,-1250.17,GSE60143
363,TFFM0349,1,MA1198,1,HAT2,-11154.9,-10977.7,GSE60143
364,TFFM0350,1,MA1369,1,HDG1 100_a,-17417.2,-17117.8,GSE60143
365,TFFM0351,1,MA1371,1,IDD4,-22562.5,-22137.6,GSE60143
366,TFFM0352,1,MA1374,1,IDD7,-10957.5,-10806.9,GSE60143
367,TFFM0353,1,MA1156,1,JKD,-4470.69,-4475.39,GSE60143
368,TFFM0354,1,MA1187,1,LCL1,-10590.1,-11198,GSE60143
369,TFFM0355,1,MA1246,1,LEP,-156.15,-141.083,GSE60143
370,TFFM0356,1,MA1185,1,LHY1,-33625.7,-34819.5,GSE60143
371,TFFM0357,1,MA0952,1,ATHB-51,-39944,-40877.4,GSE60143
372,TFFM0358,1,MA1173,1,MYB101,-251.914,-222.994,GSE60143
373,TFFM0359,1,MA1176,1,MYB119,-12450.7,-10653.1,GSE60143
374,TFFM0360,1,MA1292,1,MYB27,-10388.8,-10001.3,GSE60143
375,TFFM0361,1,MA1391,1,MYB33,-7249.87,-6908.99,GSE60143
376,TFFM0362,1,MA1178,1,MYB3R1,-17444.4,-17408.6,GSE60143
377,TFFM0363,1,MA1180,1,MYB3R4,-2964.68,-2960.51,GSE60143
378,TFFM0364,1,MA1172,1,MYB3R5,-7365.29,-7381.88,GSE60143
379,TFFM0365,1,MA1174,1,MYB56,-1558.67,-1518.6,GSE60143
380,TFFM0366,1,MA1293,1,MYB57,-42254.3,-41968.6,GSE60143
381,TFFM0367,1,MA1177,1,MYB65,-2797.61,-2634.01,GSE60143
382,TFFM0368,1,MA1393,1,MYB70,-6003.76,-5822.87,GSE60143
383,TFFM0369,1,MA1394,1,MYB73,-5712.99,-5581.65,GSE60143
384,TFFM0370,1,MA1395,1,MYB77,-26166.7,-25668.3,GSE60143
385,TFFM0371,1,MA1175,1,MYB81,-2590.64,-2511.85,GSE60143
386,TFFM0372,1,MA1392,1,MYB98,-11090.3,-11033.5,GSE60143
387,TFFM0373,1,MA1045,1,NAC043,-6215.68,-6038.34,GSE60143
388,TFFM0374,1,MA1278,1,OBP1,-5320.55,-5000.74,GSE60143
389,TFFM0375,1,MA1274,1,OBP3,-5564.61,-5113.08,GSE60143
390,TFFM0376,1,MA1280,1,OBP4,-15462.1,-14742.3,GSE60143
391,TFFM0377,1,MA1378,1,PLT3,-750.17,-719.694,GSE60143
392,TFFM0378,1,MA1216,1,RAP21,-2597.9,-2590.11,GSE60143
393,TFFM0379,1,MA1249,1,Rap210,-16854.4,-16803.6,GSE60143
394,TFFM0380,1,MA1266,1,RAP211,-2031.2,-1933.84,GSE60143
395,TFFM0381,1,MA1256,1,RAP212,-6957.58,-6850.07,GSE60143
396,TFFM0382,1,MA1221,1,RAP26,-1337.57,-1326.16,GSE60143
397,TFFM0383,1,MA0582,1,RAV1,-13949.1,-13726.6,GSE60143
398,TFFM0384,1,MA1184,1,RVE1,-51697.4,-52015.8,GSE60143
399,TFFM0385,1,MA1159,1,SGR5,-5342.97,-5327.28,GSE60143
400,TFFM0386,1,MA1379,1,SOL1,-4228.87,-4167.08,GSE60143
401,TFFM0387,1,MA1055,1,SPL1,-8360.32,-8236.5,GSE60143
402,TFFM0388,1,MA1321,1,SPL13,-1860.81,-1895.85,GSE60143
403,TFFM0389,1,MA0586,2,SPL14,-6627.65,-6627.65,GSE60143
404,TFFM0390,1,MA1059,2,SPL5,-19736.1,-19686.9,GSE60143
405,TFFM0391,1,MA1322,1,SPL9,-41985.3,-41877,GSE60143
406,TFFM0392,1,MA1372,1,STZ,-12618.1,-11668.6,GSE60143
407,TFFM0393,1,MA0555,1,SVP,-8859.18,-8836.29,GSE60143
408,TFFM0394,1,MA1355,1,TBP3,-12769.4,-12701.4,GSE60143
409,TFFM0395,1,MA1065,1,TCP20,-2424.07,-2759.12,GSE60143
410,TFFM0396,1,MA1286,1,TCP24,-10268.4,-10268.4,GSE60143
411,TFFM0397,1,MA1289,1,TCP3,-4623.46,-4641.67,GSE60143
412,TFFM0398,1,MA1291,1,TCP7,-3292.41,-3304.6,GSE60143
413,TFFM0399,1,MA1162,1,TCX2,-5748.96,-5458.89,GSE60143
414,TFFM0400,1,MA0588,1,TGA1,-12953.1,-12947.2,GSE60143
415,TFFM0401,1,MA1346,1,TGA10,-1578.41,-1578.41,GSE60143
416,TFFM0402,1,MA1068,1,TGA2,-6289.55,-6688.75,GSE60143
417,TFFM0403,1,MA1336,1,TGA3,-9717.31,-9706.31,GSE60143
418,TFFM0404,1,MA1335,1,TGA4,-5895.62,-6029.49,GSE60143
419,TFFM0405,1,MA1047,1,TGA5,-5858.99,-6115.63,GSE60143
420,TFFM0406,1,MA1069,1,TGA6,-25890,-26072.4,GSE60143
421,TFFM0407,1,MA1348,1,TGA9,-9994.43,-9804.64,GSE60143
422,TFFM0408,1,MA1220,1,TINY,-3318.37,-3295.27,GSE60143
423,TFFM0409,1,MA1352,1,TRP1,-200.991,-199.022,GSE60143
424,TFFM0410,1,MA1356,1,TRP2,-238.539,-210.532,GSE60143
425,TFFM0411,1,MA1314,1,WRKY14,-10530.1,-10530.1,GSE60143
426,TFFM0412,1,MA1076,1,WRKY15,-47156.4,-47744,GSE60143
427,TFFM0413,1,MA1077,1,WRKY18,-38236.5,-38211.6,GSE60143
428,TFFM0414,1,MA1295,1,WRKY20,-4675.65,-4696.8,GSE60143
429,TFFM0415,1,MA1079,1,WRKY21,-3188.67,-3334.43,GSE60143
430,TFFM0416,1,MA1303,1,WRKY22,-65415.1,-65522.9,GSE60143
431,TFFM0417,1,MA1315,1,WRKY24,-20057.8,-20124.4,GSE60143
432,TFFM0418,1,MA1081,1,WRKY25,-11982.3,-12341.5,GSE60143
433,TFFM0419,1,MA1318,1,WRKY27,-8300.39,-8351.75,GSE60143
434,TFFM0420,1,MA1311,1,WRKY28,-19313.4,-19182.5,GSE60143
435,TFFM0421,1,MA1298,1,WRKY29,-3437.04,-3407.81,GSE60143
436,TFFM0422,1,MA1309,1,WRKY3,-1243.19,-1225.73,GSE60143
437,TFFM0423,1,MA1301,1,WRKY33,-11383.7,-11201.1,GSE60143
438,TFFM0424,1,MA1087,1,WRKY45,-21481.9,-22836.7,GSE60143
439,TFFM0425,1,MA1317,1,WRKY50,-31467.5,-27501.7,GSE60143
440,TFFM0426,1,MA1305,1,WRKY55,-19476.2,-19359,GSE60143
441,TFFM0427,1,MA1302,1,WRKY65,-22711.5,-22848.2,GSE60143
442,TFFM0428,1,MA1313,1,WRKY7,-4533.21,-4552.91,GSE60143
443,TFFM0429,1,MA1308,1,WRKY70,-21819.7,-21739.5,GSE60143
444,TFFM0430,1,MA1316,1,WRKY71,-23440.4,-23207.7,GSE60143
